,Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Country
893,Eucalyptus,Sydney,Healthcare,50.0,0.2,2022-07-22 00:00:00,https://www.news.com.au/finance/business/other-industries/australian-healthcare-startup-fires-20-per-cent-of-staff/news-story/c582a96f5cc55a99962c2c79aa7033a9,69.0,United States
1778,Eventbrite,SF Bay Area,Consumer,500.0,0.45,2020-04-08 00:00:00,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/,332.0,United States
130,Everlane,SF Bay Area,Retail,30.0,0.17,2023-01-05 00:00:00,https://www.theinformation.com/articles/everlane-slashes-17-of-corporate-employees,176.0,United States
463,Exodus,Nebraska City,Crypto,59.0,0.22,2022-11-04 00:00:00,https://www.exodus.com/news/exodus-restructure/,60.0,United States
35,Exotel,Bengaluru,Support,142.0,0.15,2023-01-17 00:00:00,https://inc42.com/buzz/exclusive-saas-startup-exotel-lays-off-142-employees-amid-biz-restructuring/,87.0,India
1919,FabHotels,New Delhi,Travel,80.0,0.2,2020-03-30 00:00:00,https://entrackr.com/2020/04/exclusive-fabhotels-lays-off-80-employees-slashes-salary/,48.0,India
952,Fabric,New York City,Logistics,120.0,0.4,2022-07-13 00:00:00,https://techcrunch.com/2022/07/13/fabric-lays-off-40-of-staff-as-it-shifts-strategy-from-service-to-platform/,336.0,United States
1292,Facily,Sao Paulo,Retail,260.0,0.3,2022-04-20 00:00:00,https://startups.com.br/noticias/brazilian-e-commerce-firm-facily-slashes-workforce-by-30/,502.0,Brazil
549,Faire,SF Bay Area,Retail,84.0,0.07,2022-10-18 00:00:00,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,1700.0,United States
1139,FarEye,New Delhi,Logistics,250.0,0.3,2022-06-10 00:00:00,https://inc42.com/buzz/exclusive-dragoneer-backed-fareye-lays-off-250-employees/,150.0,India
109,Fate Therapeutics,San Diego,Healthcare,315.0,0.5700000000000001,2023-01-09 00:00:00,"https://www.sandiegouniontribune.com/business/story/2023-01-09/san-diegos-fate-therapeutics-lays-off-315-employees-more-than-half-of-its-workforce#:~:text=Fate%20Therapeutics%2C%20a%20San%20Diego,collaboration%20agreement%20with%20Janssen%20Biotech",1200.0,United States
506,Fifth Season,Pittsburgh,Food,100.0,1.0,2022-10-28 00:00:00,https://www.bizjournals.com/pittsburgh/news/2022/10/29/vertical-farming-startup-fifth-season-shuts-down.html,35.0,United States
1108,Finite State,Columbus,Security,16.0,0.2,2022-06-17 00:00:00,https://www.bizjournals.com/columbus/inno/stories/news/2022/06/17/startup-finite-state-layoffs.html,49.0,United States
1020,Finleap Connect,Hamburg,Finance,14.0,0.1,2022-06-30 00:00:00,https://paymentandbanking.com/open-banking-anbieter-finleap-connect-vollzieht-wechsel-an-der-management-spitze/,22.0,Germany
884,Fiverr,Tel Aviv,Other,60.0,0.08,2022-07-26 00:00:00,https://en.globes.co.il/en/article-fiverr-lays-off-60-including-30-employees-in-israel-1001419413,111.0,Israel
77,Flexport,SF Bay Area,Logistics,640.0,0.2,2023-01-11 00:00:00,https://www.cnbc.com/2023/01/11/flexport-to-lay-off-20percent-of-its-global-workforce.html,2400.0,United States
555,Flipboard,SF Bay Area,Media,24.0,0.21,2022-10-16 00:00:00,https://www.axios.com/2022/10/17/flipboard-layoffs-21-percent-staff,235.0,United States
1359,Flockjay,SF Bay Area,Education,37.0,0.5,2021-08-24 00:00:00,https://techcrunch.com/2021/08/24/flockjay-cuts-at-least-half-of-its-workforce-as-it-pivots-away-from-bootcamps-into-b2b-saas/,14.0,United States
915,Flyhomes,Seattle,Real Estate,200.0,0.2,2022-07-20 00:00:00,https://www.geekwire.com/2022/seattle-real-estate-startup-flyhomes-cuts-20-of-staff-citing-uncertain-economic-conditions/,310.0,United States
2014,Flytedesk,Boulder,Marketing,4.0,0.2,2020-03-18 00:00:00,https://businessden.com/2020/03/18/boulder-advertising-startup-flytedesk-lays-off-staff-amid-coronavirus/,4.0,United States
2001,Flywheel Sports,New York City,Fitness,784.0,0.98,2020-03-20 00:00:00,https://stayfit305.com/solidcore-and-flywheel-announce-layoffs-as-a-result-of-covid-19/,120.0,United States
1591,Flywire,Boston,Finance,60.0,0.12,2020-05-07 00:00:00,https://www.americaninno.com/boston/inno-news-boston/fintech-startup-flywire-downsizes-12-percent-of-workforce/,263.0,United States
1305,Food52,New York City,Food,20.0,0.1,2022-04-08 00:00:00,https://www.businessinsider.com/food52-layoffs-employees-shocked-chernin-group-investment-2022-4,176.0,United States
1984,Foodsby,Minneapolis,Food,87.0,0.67,2020-03-24 00:00:00,https://www.americaninno.com/minne/inno-news-minne/layoffs-at-foodsby-after-drop-in-business-from-coronavirus/,20.0,United States
96,ForeScout,SF Bay Area,Security,100.0,0.1,2023-01-10 00:00:00,https://www.calcalistech.com/ctechnews/article/hkyo39k9o,125.0,United States
922,Forma.ai,Toronto,Sales,15.0,0.09,2022-07-20 00:00:00,Internal memo,58.0,Canada
410,Forto,Berlin,Logistics,60.0,0.08,2022-11-11 00:00:00,https://www.deutsche-startups.de/2022/11/11/forto-delivery-hero-stuffle-burnout-hr-startups/,593.0,United States
1702,Forward,SF Bay Area,Healthcare,10.0,0.03,2020-04-20 00:00:00,https://www.businessinsider.com/forward-primary-care-startup-layoffs-amid-coronavirus-pandemic-2020-4,100.0,United States
771,FourKites,Chicago,Logistics,60.0,0.08,2022-08-11 00:00:00,https://techcrunch.com/2022/08/26/supply-chain-startup-fourkites-which-recently-laid-off-workers-raises-30m/,201.0,United States
618,Foxtrot,Chicago,Food,26.0,0.035,2022-09-23 00:00:00,https://www.chicagobusiness.com/retail/foxtrot-lays-26-employees,166.0,United States
1142,Freetrade,London,Finance,45.0,0.15,2022-06-10 00:00:00,https://www.altfi.com/article/9362_exclusive-freetrade-announces-job-cuts-of-up-to-15-of-staff,133.0,United Kingdom
1690,Freshbooks,Toronto,Finance,38.0,0.09,2020-04-21 00:00:00,https://betakit.com/freshbooks-reduces-headcount-by-9-ceo-says-company-remains-in-growth-mode-despite-covid-19/,75.0,Canada
176,Freshworks,SF Bay Area,Support,90.0,0.02,2022-12-15 00:00:00,https://inc42.com/buzz/facing-macroeconomic-headwinds-freshworks-trims-nearly-2-workforce/,484.0,United States
1218,FrontRow,Bengaluru,Education,145.0,0.3,2022-05-27 00:00:00,https://inc42.com/buzz/exclusive-lightspeed-backed-frontrow-lays-off-145-employees-cut-cost/,17.0,India
1756,Frontdesk,Milwaukee,Travel,35.0,0.16,2020-04-10 00:00:00,https://www.linkedin.com/posts/jessedepinto_today-was-one-of-the-hardest-days-weve-experienced-activity-6654491888835448832-rAdg/,3.0,United States
520,Fundbox,SF Bay Area,Finance,150.0,0.42,2022-10-25 00:00:00,https://www.calcalistech.com/ctechnews/article/sypou4svi,553.0,United States
1720,Funding Societies,Singapore,Finance,65.0,0.18,2020-04-16 00:00:00,https://www.techinasia.com/raising-40m-funding-societies-streamlines-business-pandemic,42.0,Singapore
1473,G2,Chicago,Marketing,17.0,0.05,2020-06-30 00:00:00,https://www.americaninno.com/chicago/inno-news-chicago/layoffs-at-g2-as-the-tech-company-cuts-costs-during-covid/,100.8,United States
1192,Gather,SF Bay Area,Consumer,30.0,0.33,2022-06-02 00:00:00,https://www.forbes.com/sites/kenrickcai/2022/07/08/gather-town-layoffs-virtual-office-startup-june-2022/?sh=2ca5ac9d4748,76.0,United States
492,Gem,SF Bay Area,Recruiting,100.0,0.33,2022-11-01 00:00:00,https://www.theinformation.com/briefings/recruiting-startup-gem-cuts-a-third-of-workforce,148.0,United States
931,Gemini,New York City,Crypto,68.0,0.07,2022-07-18 00:00:00,https://techcrunch.com/2022/07/18/crypto-exchange-gemini-executes-second-round-of-layoffs-less-than-two-months-after-axing-10-of-staff/,423.0,United States
1791,GetNinjas,Sao Paulo,Consumer,11.0,0.1,2020-04-08 00:00:00,"https://link.estadao.com.br/noticias/inovacao,onda-de-demissoes-em-startups-atinge-getninjas-creditas-e-omie,70003263878",16.0,Brazil
1409,GetYourGuide,Berlin,Travel,90.0,0.17,2020-10-14 00:00:00,https://www.reuters.com/article/tech-getyourguide/german-travel-startup-getyourguide-lets-go-of-a-sixth-of-staff-idUSL8N2H544X,656.0,Germany
1944,Getaround,SF Bay Area,Transportation,100.0,0.25,2020-03-27 00:00:00,https://www.bizjournals.com/sanfrancisco/news/2020/03/27/getaround-issues-another-layoff-round-as-it-seeks.html,403.0,United States
1589,Glassdoor,SF Bay Area,Recruiting,300.0,0.3,2020-05-07 00:00:00,https://www.businessinsider.com/glassdoor-lays-off-300-30-staff-due-to-covid-19-2020-5,204.0,United States
211,Glints,Singapore,HR,198.0,0.18,2022-12-08 00:00:00,https://www.techinasia.com/singaporebased-glints-lays-18-employees,82.0,Singapore
1538,Glitch,New York City,Product,18.0,0.36,2020-05-21 00:00:00,https://www.theverge.com/2020/5/22/21268007/glitch-layoffs-substantial-number-coding-platform-union,30.0,United States
844,Glossier,New York City,Retail,19.0,0.08,2022-08-02 00:00:00,https://www.modernretail.co/startups/glossier-lays-off-about-two-dozen-employees-as-it-ramps-up-hiring-in-wholesale-and-retail/amp/,266.0,United States
1426,GoBear,Singapore,Finance,22.0,0.11,2020-09-01 00:00:00,https://layoffs.fyi/2020/09/13/gobear-launches-talent-directory-after-laying-off-22-employees/,97.0,Singapore
100,GoBolt,Toronto,Logistics,55.0,0.05,2023-01-10 00:00:00,https://betakit.com/gobolt-lays-off-five-percent-of-staff-shortly-after-75-million-raise-citing-worsening-consumer-demand/,178.0,Canada
781,GoHealth,Chicago,Healthcare,800.0,0.2,2022-08-09 00:00:00,https://www.chicagobusiness.com/technology/gohealth-lays-800-workers-online-health-insurance-seller-cuts-back,75.0,United States
1729,GoPro,SF Bay Area,Consumer,200.0,0.2,2020-04-15 00:00:00,https://techcrunch.com/2020/04/16/gopro-lays-off-200-employees-representing-20-of-the-company/,288.0,United States
1965,GoSpotCheck,Denver,Retail,23.0,0.2,2020-03-26 00:00:00,https://businessden.com/2020/03/26/software-firm-gospotcheck-cuts-23-employees-in-bid-to-extend-runway/,47.0,United States
414,GoTo Group,Jakarta,Transportation,1300.0,0.12,2022-11-10 00:00:00,https://www.reuters.com/technology/indonesias-goto-cuts-1300-workers-or-12-total-employees-2022-11-18/,1300.0,Indonesia
1486,Gojek,Jakarta,Transportation,430.0,0.09,2020-06-23 00:00:00,https://layoffs.fyi/2020/08/06/gojek-creates-talent-directory-following-430-person-layoff/,4800.0,Indonesia
696,GoodRx,Los Angeles,Healthcare,140.0,0.16,2022-08-31 00:00:00,https://seekingalpha.com/news/3879125-goodrx-laying-off-140-employees-16-of-workforce,910.0,United States
961,Gopuff,Philadelphia,Food,1500.0,0.1,2022-07-12 00:00:00,https://www.bloomberg.com/news/articles/2022-07-12/gopuff-is-cutting-10-jobs-in-us-closing-warehouses-to-preserve-cash,3400.0,United States
1236,Gorillas,Berlin,Food,300.0,0.5,2022-05-24 00:00:00,https://www.theverge.com/2022/5/24/23139272/gorillas-on-demand-grocery-delivery-app-lays-off-employees-hq,1300.0,Germany
1494,Grab,Singapore,Transportation,360.0,0.05,2020-06-16 00:00:00,https://layoffs.fyi/2020/06/24/official-grab-layoff-list-released-following-360-person-layoff/,9900.0,Singapore
1995,GrayMeta,Los Angeles,Data,20.0,0.4,2020-03-23 00:00:00,LinkedIn,7.0,United States
1707,Greenhouse Software,New York City,Recruiting,120.0,0.28,2020-04-17 00:00:00,https://layoffs.fyi/2020/04/20/greenhouse-lays-off-120-employees/,110.0,United States
67,Greenlight,Atlanta,Finance,104.0,0.21,2023-01-12 00:00:00,https://techcrunch.com/2023/01/12/greenlight-fintech-layoff/,556.0,United States
286,Grin,Sacramento,Marketing,60.0,0.13,2022-11-30 00:00:00,https://www.theinformation.com/briefings/influencer-marketing-startup-grin-lays-off-60-employees,145.0,United States
1809,Group Nine Media,New York City,Media,50.0,0.07,2020-04-07 00:00:00,https://www.axios.com/group-nine-media-layoffs-76644172-c473-42aa-b9a3-3a7e60b1baed.html,190.0,United States
1750,Groupon,Chicago,Retail,2800.0,0.44,2020-04-13 00:00:00,https://layoffs.fyi/2020/04/17/groupon-laid-off-or-furloughed-2800-employees/,1400.0,United States
235,Grover,Berlin,Retail,40.0,0.1,2022-12-07 00:00:00,https://www.businessinsider.de/gruenderszene/business/entlassungen-bei-berliner-neu-unicorn-grover/?fbclid=IwAR3o2sB8MmcX3_y8HaAeRqIUU2T8YNYokRDZz5Nxkr0BjzhYRs84fR2hrW8,2300.0,United States
1697,GumGum,Los Angeles,Marketing,90.0,0.25,2020-04-20 00:00:00,https://www.businessinsider.com/gumgum-lays-off-25-of-employees-citing-the-coronavirus-impact-2020-4,58.0,United States
1828,Gympass,Sao Paulo,Fitness,467.0,0.33,2020-04-03 00:00:00,https://forbes.com.br/negocios/2020/04/exclusivo-gympass-desliga-um-terco-dos-colaboradores/,300.0,Brazil
1938,HOOQ,Singapore,Consumer,250.0,1.0,2020-03-27 00:00:00,https://techcrunch.com/2020/03/27/streaming-service-hooq-files-for-liquidation/,95.0,Singapore
282,Happy Money,Los Angeles,Finance,158.0,0.34,2022-11-30 00:00:00,Internal memo,191.0,United States
847,Hash,Sao Paulo,Finance,58.0,0.5,2022-08-01 00:00:00,https://oglobo.globo.com/blogs/capital/post/2022/08/startup-de-maquininha-demite-mais-de-metade-da-equipe-e-avalia-fechar-as-portas.ghtml,58.0,Brazil
182,Headspace,Los Angeles,Healthcare,50.0,0.04,2022-12-14 00:00:00,https://www.bloomberg.com/news/articles/2022-12-14/meditation-app-headspace-cuts-50-workers-or-4-of-staff,215.0,United States
1048,HealthMatch,Sydney,Healthcare,18.0,0.5,2022-06-28 00:00:00,https://www.smh.com.au/business/entrepreneurship/i-m-heartbroken-wave-of-layoffs-begins-as-start-ups-fight-for-survival-20220628-p5ax6a.html,20.0,Australia
2016,Help.com,Austin,Support,16.0,1.0,2020-03-16 00:00:00,LinkedIn,6.0,United States
940,Heroes,London,Retail,24.0,0.2,2022-07-15 00:00:00,https://www.businessinsider.com/amazon-rollup-heroes-quietly-laid-off-staff-2022-7,265.0,United States
1920,Hibob,Tel Aviv,HR,70.0,0.3,2020-03-30 00:00:00,https://www.teamblind.com/post/Hibob-layoffs---70-ppl-org-wide-5BmyRsoZ,45.0,Israel
1884,Highsnobiety,Berlin,Media,51.0,0.25,2020-04-01 00:00:00,https://digiday.com/media/highsnobiety-closes-commerce-cuts-25-of-staff/,8.5,Germany
698,Hippo Insurance,SF Bay Area,Finance,70.0,0.1,2022-08-31 00:00:00,https://www.globes.co.il/news/article.aspx?did=1001423046,1300.0,United States
1581,Hireology,Chicago,Recruiting,36.0,0.17,2020-05-12 00:00:00,https://www.americaninno.com/chicago/inno-news-chicago/hireology-lays-off-17-of-its-staff/,52.0,United States
1151,Hologram,Chicago,Infrastructure,80.0,0.4,2022-06-09 00:00:00,LinkedIn,82.0,United States
163,Homebot,Denver,Real Estate,18.0,0.13,2022-12-19 00:00:00,https://homebot.ai/blog/a-letter-to-homebotters,4.0,United States
1335,Homie,Salt Lake City,Real Estate,119.0,0.29,2022-02-14 00:00:00,https://www.deseret.com/utah/2022/2/14/22933350/utah-real-esate-homie-cuts-staff-amid-roiled-real-estate-market-record-home-prices-low-inventory,35.0,United States
20,Hootsuite,Vancouver,Marketing,70.0,0.07,2023-01-18 00:00:00,https://www.theglobeandmail.com/business/article-hootsuite-replaces-ceo-announces-layoffs/,300.0,Canada
2018,HopSkipDrive,Los Angeles,Transportation,8.0,0.1,2020-03-13 00:00:00,https://layoffs.fyi/2020/04/02/hopskipdrive-laid-off-10-of-team-due-to-school-closures/,45.0,United States
968,Hopin,London,Other,242.0,0.29,2022-07-11 00:00:00,https://www.businessinsider.com/live-events-unicorn-startup-hopin-is-laying-off-tk-staff-2022-7?op=1&scrolla=5eb6d68b7fedc32c19ef33b4,1000.0,United Kingdom
1663,Horizn Studios,Berlin,Travel,15.0,0.25,2020-04-24 00:00:00,https://www.deutsche-startups.de/2020/04/24/horizn-studios-sanierung/,30.0,Germany
536,Hotmart,Belo Horizonte,Marketing,227.0,0.12,2022-10-20 00:00:00,https://www.bloomberglinea.com/english/brazils-tcv-backed-hotmart-cuts-12-of-staff-amid-drop-in-operational-efficiency/,127.0,Brazil
1687,Houzz,SF Bay Area,Consumer,155.0,0.1,2020-04-21 00:00:00,https://techcrunch.com/2020/04/21/houzz-lays-off-155-employees-cuts-executive-salaries/,613.0,United States
1379,Hubba,Toronto,Retail,45.0,1.0,2021-02-01 00:00:00,https://betakit.com/hubba-to-shut-down/,61.0,Canada
964,Hubilo,SF Bay Area,Marketing,45.0,0.12,2022-07-12 00:00:00,https://inc42.com/buzz/hubilo-lays-off-12-workforce-as-physical-events-resume/,153.0,United States
1041,Huobi,Beijing,Crypto,300.0,0.3,2022-06-28 00:00:00,https://www.coindesk.com/business/2022/06/28/huobi-global-could-cut-over-30-workforce-as-china-crackdown-leads-to-fall-in-revenue/,2.0,China
1326,Hyperscience,New York City,Data,100.0,0.25,2022-03-03 00:00:00,https://www.theinformation.com/articles/automation-firm-hyperscience-slashes-staff-loses-ceo-as-startups-face-growing-pressure,289.0,United States
1194,IRL,SF Bay Area,Consumer,25.0,0.25,2022-06-02 00:00:00,https://techcrunch.com/2022/06/02/irl-layoffs-abraham-shafi-social-media/,197.0,United States
1805,Ibotta,Denver,Retail,87.0,0.15,2020-04-07 00:00:00,https://businessden.com/2020/04/14/rebate-app-ibotta-cuts-15-percent-of-staff/,85.0,United States
1827,Iflix,Kuala Lumpur,Consumer,50.0,0.12,2020-04-04 00:00:00,https://technode.global/2020/04/07/iflix-job-cuts-coronavirus/,348.0,Malaysia
1679,Ike,SF Bay Area,Transportation,10.0,0.14,2020-04-22 00:00:00,https://www.theinformation.com/briefings/59d773,52.0,United States
395,Illumina,San Diego,Healthcare,500.0,0.05,2022-11-14 00:00:00,https://www.genomeweb.com/business-news/illumina-lays-approximately-500-employees-response-economic-climate#.Y4FAPOzMJjM,28.0,United States
708,Immersive Labs,Bristol,Security,38.0,0.1,2022-08-30 00:00:00,https://www.uktech.news/cybersecurity/immersive-labs-jobs-cuts-20220830,123.0,United Kingdom
888,Immutable,Sydney,Crypto,20.0,0.06,2022-07-26 00:00:00,https://www.cnet.com/tech/gaming/crypto-star-immutable-creator-of-nft-game-gods-unchained-lays-off-over-20-staff/,279.0,Australia
1204,Impala,London,Travel,30.0,0.35,2022-06-01 00:00:00,https://newsletter.pragmaticengineer.com/p/the-scoop-13,32.0,United Kingdom
587,Impossible Foods,SF Bay Area,Food,50.0,0.06,2022-10-06 00:00:00,https://www.sfgate.com/local/article/impossible-foods-more-layoffs-17494557.php,1900.0,United States
885,InDebted,Sydney,Finance,40.0,0.17,2022-07-26 00:00:00,https://www.news.com.au/finance/business/technology/startup-sacks-40-employees-amid-200-million-valuation/news-story/891f316c53bb38c7f12d519b26f07ee5,41.0,Australia
1894,Incredible Health,SF Bay Area,Healthcare,9.0,0.4,2020-04-01 00:00:00,https://www.statnews.com/2020/04/07/coronavirus-related-layoffs-hit-health-tech-startups/,15.0,United States
1859,Industrious,New York City,Real Estate,90.0,0.2,2020-04-02 00:00:00,https://commercialobserver.com/2020/04/industrious-cuts-a-third-of-its-workforce/,222.0,United States
306,Infarm,Berlin,Other,500.0,0.5,2022-11-28 00:00:00,https://www.infarm.com/news/note-from-infarm-s-founders-strategy-shift-and-profitability-at-infarm,604.0,Germany
417,InfluxData,SF Bay Area,Data,65.0,0.27,2022-11-10 00:00:00,Internal memo,119.0,United States
545,InfoSum,London,Security,20.0,0.12,2022-10-19 00:00:00,https://www.businessinsider.com/infosum-lays-off-approximately-20-staff-amid-economic-uncertainty-2022-10,88.0,United Kingdom
691,Innovaccer,SF Bay Area,Healthcare,90.0,0.08,2022-09-01 00:00:00,https://inc42.com/buzz/exclusive-tiger-global-backed-healthtech-unicorn-innovaccer-lays-off-120-employees/,379.0,United States
2015,Inspirato,Denver,Travel,130.0,0.22,2020-03-16 00:00:00,https://businessden.com/2020/03/16/inspirato-cuts-20-of-workforce/,79.0,United States
1873,Instamojo,Bengaluru,Finance,6.0,0.06,2020-04-02 00:00:00,https://www.business-standard.com/article/companies/covid-19-crisis-consumer-internet-start-ups-brace-for-salary-cuts-layoffs-120040101707_1.html,8.0,India
1529,Instructure,Salt Lake City,Education,150.0,0.12,2020-05-27 00:00:00,https://philonedtech.com/instructure-restructure-significant-layoffs-hitting-canvas-side-of-the-business/,89.0,United States
233,Integral Ad Science,New York City,Marketing,120.0,0.13,2022-12-07 00:00:00,https://investors.integralads.com/node/7871/html,116.0,United States
400,Intercom,SF Bay Area,Support,124.0,0.13,2022-11-14 00:00:00,https://www.siliconrepublic.com/business/intercom-job-cuts-ireland-global,240.0,United States
919,Introhive,Ferdericton,Sales,57.0,0.16,2022-07-20 00:00:00,https://entrevestor.com/home/entry/introhive-lays-off-staff-braces-for-recession,125.0,Canada
1489,Intuit,SF Bay Area,Finance,715.0,0.07,2020-06-22 00:00:00,https://intuitblog.com/news-social/a-message-from-intuit-ceo-sasan-goodarzi-to-intuit-employees/,18.0,United States
955,Involves,Florianópolis,Retail,70.0,0.18,2022-07-13 00:00:00,https://www.baguete.com.br/noticias/13/07/2022/involves-demite-18,23.0,Brazil
1928,Iris Nova,New York City,Food,9.0,0.5,2020-03-30 00:00:00,https://www.businessinsider.com/coca-cola-backed-startup-iris-nova-layoffs-due-to-coronavirus-2020-3,15.0,United States
484,Iron Ox,SF Bay Area,Food,50.0,0.5,2022-11-02 00:00:00,https://techcrunch.com/2022/11/03/iron-ox-lays-off-50-amounting-to-nearly-half-its-staff/,103.0,United States
1078,IronNet,Washington D.C.,Security,90.0,0.35,2022-06-22 00:00:00,https://www.crn.com/news/security/ironnet-lays-off-35-percent-of-staff-raises-going-concern-red-flag,410.0,United States
179,JD.ID,Jakarta,Retail,200.0,0.3,2022-12-14 00:00:00,https://jakartaglobe.id/business/jdid-layoffs-reflect-struggles-in-indonesian-startup-industry,5100.0,Indonesia
1109,JOKR,New York City,Food,50.0,0.05,2022-06-16 00:00:00,https://techcrunch.com/2022/06/16/jokr-grocery-delivery-leaving-us-latin-america/,430.0,United States
814,Jam City,Los Angeles,Consumer,200.0,0.17,2022-08-04 00:00:00,https://venturebeat.com/2022/08/04/jam-city-lays-off-hundreds-of-staff-as-part-of-restructuring/,652.0,United States
1976,Jama,Portland,Product,12.0,0.05,2020-03-25 00:00:00,https://www.oregonlive.com/silicon-forest/2020/03/jama-software-will-lay-off-a-dozen-but-says-business-is-solid-during-coronavirus-outbreak.html,233.0,United States
1654,JetClosing,Seattle,Real Estate,20.0,0.2,2020-04-27 00:00:00,https://www.nytimes.com/2020/04/27/technology/startups-sba-loans-backlash.html,24.0,United States
1837,Jetty,New York City,Finance,35.0,0.4,2020-04-03 00:00:00,https://layoffs.fyi/2020/04/17/jetty-laid-off-40-of-staff-after-pausing-sales-of-new-insurance-policies/,40.0,United States
382,Jimdo,Hamburg,Other,50.0,0.16,2022-11-15 00:00:00,https://www.businessinsider.de/gruenderszene/business/entlassungswelle-jimdo-november/,28.0,Germany
1665,Jiobit,Chicago,Consumer,6.0,0.21,2020-04-24 00:00:00,https://www.chicagobusiness.com/john-pletz-technology/what-covid-19-means-chicagos-tech-sector,12.0,United States
1865,Jobcase,Boston,Recruiting,39.0,0.2,2020-04-02 00:00:00,LinkedIn,118.0,United States
81,Jumio,SF Bay Area,Security,100.0,0.06,2023-01-11 00:00:00,https://www.biometricupdate.com/202301/jumio-downsizes-as-identity-verification-providers-respond-to-economic-climate,205.0,United States
1588,Jump,New York City,Transportation,500.0,1.0,2020-05-07 00:00:00,https://www.nytimes.com/2020/05/07/technology/the-results-are-in-for-the-sharing-economy-they-are-ugly.html,11.0,United States
17,Jumpcloud,Boulder,Security,100.0,0.12,2023-01-18 00:00:00,https://jumpcloud.com/blog/jumpcloud-restructuring,416.0,United States
351,Juni,Gothenburg,Finance,72.0,0.33,2022-11-17 00:00:00,https://www.finextra.com/newsarticle/41340/juni-joins-fintech-bloodbath-lays-off-a-third-of-staff,281.0,Sweden
415,Juul,SF Bay Area,Consumer,400.0,0.3,2022-11-10 00:00:00,https://www.cnbc.com/2022/11/10/juul-strikes-financing-deal-plans-to-cut-jobs-to-dodge-bankruptcy.html,1500.0,United States
436,Kabam,SF Bay Area,Consumer,35.0,0.07,2022-11-09 00:00:00,https://techcrunch.com/2022/11/09/kabam-layoffs/,244.0,United States
142,Kaltura,New York City,Media,75.0,0.11,2023-01-04 00:00:00,https://en.globes.co.il/en/article-kaltura-announces-second-round-of-layoffs-1001434620,166.0,United States
1475,Katerra,SF Bay Area,Construction,400.0,0.07,2020-06-29 00:00:00,https://www.theinformation.com/articles/softbank-backed-katerra-lays-off-more-than-400-employees,1300.0,United States
1639,Kayak / OpenTable,Stamford,Travel,160.0,0.08,2020-04-29 00:00:00,https://skift.com/2020/04/29/kayak-and-opentable-layoffs-and-furloughs-impact-400-employees/,229.0,United States
1901,KeepTruckin,SF Bay Area,Logistics,349.0,0.18,2020-03-31 00:00:00,https://layoffs.fyi/2020/03/31/keeptruckin-lays-off-another-149-employees-one-month-after-previous-layoff/,227.0,United States
1789,Kenoby,Sao Paulo,Recruiting,18.0,0.16,2020-04-08 00:00:00,"https://link.estadao.com.br/noticias/inovacao,onda-de-demissoes-em-startups-atinge-getninjas-creditas-e-omie,70003263878",23.0,Brazil
531,Khoros,Austin,Sales,120.0,0.1,2022-10-21 00:00:00,https://www.bizjournals.com/austin/inno/stories/news/2022/10/21/report-layoffs-at-khoros.html,138.0,United States
946,Kiavi,SF Bay Area,Real Estate,39.0,0.07,2022-07-14 00:00:00,https://www.housingwire.com/articles/fix-and-flip-lender-kiavi-lays-off-7-of-employees/,240.0,United States
1572,Kickstarter,New York City,Finance,25.0,0.18,2020-05-13 00:00:00,https://www.theverge.com/2020/5/13/21257585/kickstarter-layoffs-employees-union-negotiations-severance,10.0,United States
334,Kitopi,Dubai,Food,93.0,0.1,2022-11-21 00:00:00,https://www.arabianbusiness.com/jobs/dubai-unicorn-kitopi-sacks-93-head-office-staff-as-tech-industry-slumps,804.0,United States
624,Kitty Hawk,SF Bay Area,Aerospace,100.0,1.0,2022-09-21 00:00:00,https://www.sfgate.com/bayarea/article/Silicon-Valley-startup-lays-off-100-employees-17484239.php,1.0,United States
1239,Klarna,Stockholm,Finance,700.0,0.1,2022-05-23 00:00:00,https://www.di.se/digital/sparpaket-pa-klarna-sparkar-10-procent-av-alla-anstallda/,3700.0,Sweden
1695,Klook,Hong Kong,Travel,300.0,0.15,2020-04-20 00:00:00,https://layoffs.fyi/2020/08/09/asian-travel-startup-klook-releases-talent-directory/,521.0,Hong Kong
1321,Knock,New York City,Real Estate,115.0,0.46,2022-03-15 00:00:00,https://www.bloomberg.com/news/articles/2022-03-15/startup-knock-scraps-plans-to-go-public-lays-off-half-its-staff,654.0,United States
1404,Knotel,New York City,Real Estate,20.0,0.08,2020-10-29 00:00:00,https://www.businessinsider.com/knotel-layoffs-job-cuts-coworking-fundraise-amol-sarva-office-demand-2020-10,560.0,United States
1735,Kodiak Robotics,SF Bay Area,Transportation,15.0,0.2,2020-04-15 00:00:00,https://www.freightwaves.com/news/kodiak-robotics-lays-of-20-of-its-staff,40.0,United States
355,Koho,Toronto,Finance,15.0,0.04,2022-11-17 00:00:00,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,278.0,Canada
462,KoinWorks,Jakarta,Finance,70.0,0.08,2022-11-04 00:00:00,https://www.techinasia.com/koinworks-layoff-2022,180.0,Indonesia
