,Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Country
563,Byju's,Bengaluru,Education,2500.0,0.05,2022-10-12 00:00:00,https://techcrunch.com/2022/10/12/indian-edtech-giant-byjus-cuts-2500-jobs/,5500.0,India
204,C2FO,Kansas City,Finance,20.0,0.02,2022-12-09 00:00:00,https://www.bizjournals.com/kansascity/news/2022/12/09/c2fo-layoff-recession-efficiency-profitability.html,537.0,United States
2003,CTO.ai,Vancouver,Infrastructure,30.0,0.5,2020-03-20 00:00:00,LinkedIn,7.0,Canada
1586,Cadre,New York City,Real Estate,28.0,0.25,2020-05-11 00:00:00,https://layoffs.fyi/2020/05/19/real-estate-investing-startup-cadre-laid-off-28-employees/,133.0,United States
977,Calibrate,New York City,Healthcare,156.0,0.24,2022-07-08 00:00:00,https://news.bloomberglaw.com/capital-markets/health-startup-calibrate-cuts-24-of-workforce-in-restructuring,127.0,United States
770,Calm,SF Bay Area,Healthcare,90.0,0.2,2022-08-11 00:00:00,https://www.wsj.com/articles/meditation-app-calm-lays-off-20-of-staff-11660261492?mod=hp_lista_pos1,218.0,United States
1277,Cameo,Chicago,Consumer,87.0,0.25,2022-05-04 00:00:00,https://www.theinformation.com/articles/cameo-a-celebrity-shoutout-app-lays-off-25-of-workforce,165.0,United States
311,Candy Digital,New York City,Crypto,33.0,0.33,2022-11-28 00:00:00,https://decrypt.co/115811/gary-vee-sports-nft-candy-digital-mass-layoffs,100.0,United States
1010,Canoo,Los Angeles,Transportation,58.0,0.06,2022-07-01 00:00:00,https://www.businessinsider.com/canoo-layoffs-production-goals-electric-vehicle-startup-2022-6,300.0,United States
353,Capitolis,New York City,Finance,37.0,0.25,2022-11-17 00:00:00,https://www.themarker.com/technation/2022-11-17/ty-article/.premium/00000184-8592-d309-afe7-a597c17f0000,281.0,United States
385,CaptivateIQ,SF Bay Area,Sales,31.0,0.1,2022-11-15 00:00:00,Internal memo,164.0,United States
1719,CarGurus,Boston,Transportation,130.0,0.13,2020-04-16 00:00:00,https://layoffs.fyi/2020/05/04/cargurus-laid-off-130-employees/,1.0,United States
1185,Carbon Health,SF Bay Area,Healthcare,250.0,0.08,2022-06-02 00:00:00,https://www.forbes.com/sites/katiejennings/2022/06/02/healthtech-unicorn-carbon-health-lays-off-250-employees/,522.0,United States
1612,Careem,Dubai,Transportation,536.0,0.31,2020-05-04 00:00:00,https://www.thenational.ae/business/economy/dubai-s-careem-cuts-536-jobs-as-lockdowns-hit-ride-hailing-across-middle-east-1.1014784,771.0,United Arab Emirates
867,Career Karma,SF Bay Area,Education,60.0,0.33,2022-07-28 00:00:00,https://techcrunch.com/2022/07/28/career-karma-conducts-layoffs-as-tech-jobs-face-a-massive-stress-test/,51.0,United States
270,Carousell,Singapore,Retail,110.0,0.1,2022-12-01 00:00:00,https://www.straitstimes.com/singapore/jobs/carousell-cuts-110-jobs-to-rein-in-costs,372.0,Singapore
1250,Cars24,Gurugram,Transportation,600.0,0.06,2022-05-19 00:00:00,https://entrackr.com/2022/05/softbank-backed-cars24-lays-off-600-employees/,1300.0,India
1732,Carta,SF Bay Area,Finance,161.0,0.16,2020-04-15 00:00:00,https://layoffs.fyi/2020/04/22/carta-laid-off-161-employees-citing-customer-slowdown/,447.0,United States
339,Carvana,Phoenix,Transportation,1500.0,0.08,2022-11-18 00:00:00,https://www.wsj.com/articles/carvana-plans-to-lay-off-1-500-employees-cites-economic-concerns-11668793114,1600.0,United States
320,Carwow,London,Transportation,70.0,0.2,2022-11-25 00:00:00,https://www.ft.com/content/19150de3-bbd4-42b3-acbd-52b228dc1bf1,157.0,United Kingdom
1688,Casper,New York City,Retail,78.0,0.21,2020-04-21 00:00:00,https://www.fastcompany.com/90494129/breaking-casper-lays-off-78-corporate-employees-winds-down-europe-business,339.0,United States
1165,Cazoo,London,Transportation,750.0,0.15,2022-06-07 00:00:00,https://sifted.eu/articles/cazoo-layoffs-european-union/,2000.0,United Kingdom
1005,Celsius,New York City,Crypto,150.0,0.25,2022-07-03 00:00:00,https://www.calcalistech.com/ctechnews/article/syvuxha99,864.0,United States
525,Cerebral,SF Bay Area,Healthcare,400.0,0.2,2022-10-24 00:00:00,https://techcrunch.com/2022/10/24/telehealth-unicorn-cerebral-lays-off-20-of-staff-for-operational-efficiencies/,462.0,United States
480,Chargebee,SF Bay Area,Finance,142.0,0.1,2022-11-02 00:00:00,https://techcrunch.com/2022/11/02/tiger-global-chargebee-layoffs/,468.0,United States
482,Checkmarx,Tel Aviv,Security,100.0,0.1,2022-11-02 00:00:00,https://www.calcalistech.com/ctechnews/article/hjailhyri,92.0,Israel
649,Checkout.com,London,Finance,100.0,0.05,2022-09-13 00:00:00,https://www.bloomberg.com/news/articles/2022-09-13/checkout-com-will-eliminate-about-5-of-employees-in-latest-cuts,1800.0,United Kingdom
1454,Checkr,SF Bay Area,HR,64.0,0.12,2020-07-23 00:00:00,https://layoffs.fyi/2020/07/28/checkr-lays-off-64-employees/,309.0,United States
479,Chime,SF Bay Area,Finance,156.0,0.12,2022-11-02 00:00:00,https://www.theinformation.com/articles/chime-slashes-12-of-staff-marking-latest-casualty-in-fintech-meltdown,2300.0,United States
246,Chipper Cash,SF Bay Area,Finance,50.0,0.125,2022-12-06 00:00:00,https://techcrunch.com/2022/12/06/african-fintech-unicorn-chipper-cash-lays-off-about-12-5-of-staff/,302.0,United States
160,Chope,Singapore,Food,65.0,0.24,2022-12-20 00:00:00,https://www.techinasia.com/alipaybacked-chope-lays-65-employees,50.0,Singapore
954,ChowNow,Los Angeles,Food,100.0,0.2,2022-07-13 00:00:00,https://techcrunch.com/2022/07/13/signaling-tough-times-ahead-chownow-lays-off-employees/,64.0,United States
361,Cisco,SF Bay Area,Infrastructure,4100.0,0.05,2022-11-16 00:00:00,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html,2.0,United States
1103,CityMall,Gurugram,Retail,191.0,0.3,2022-06-19 00:00:00,https://techcrunch.com/2022/06/19/indias-citymall-cuts-191-jobs-following-75-million-fundraise-in-late-march/,112.0,India
896,Clarify Health,SF Bay Area,Healthcare,15.0,0.05,2022-07-22 00:00:00,https://twitter.com/erinbrodwin/status/1550495194805518337,328.0,United States
1856,ClassPass,New York City,Fitness,154.0,0.22,2020-04-02 00:00:00,https://layoffs.fyi/2020/04/03/classpass-laid-off-or-furloughed-half-its-staff/,549.0,United States
636,Clear,Bengaluru,Finance,190.0,0.2,2022-09-16 00:00:00,https://inc42.com/buzz/stripe-sequoia-backed-clear-lays-off-around-190-employees/,140.0,India
46,ClearCo,Toronto,Finance,50.0,0.3,2023-01-16 00:00:00,https://betakit.com/michele-romanow-clearco-ceo-layoffs/,698.0,Canada
1754,Clearbanc,Toronto,Finance,17.0,0.08,2020-04-13 00:00:00,https://techcrunch.com/2020/04/13/clearbanc-cuts-number-of-staff-to-navigate-long-term-economic-impact-of-covid-19/,119.0,Canada
858,Clearco,Toronto,Finance,125.0,0.25,2022-07-29 00:00:00,https://betakit.com/clearco-cuts-a-quarter-of-staff-amid-significant-headwinds/,681.0,Canada
1721,CleverTap,Mumbai,Marketing,60.0,0.2,2020-04-16 00:00:00,https://inc42.com/buzz/startupsvscovid19-indian-startup-layoffs-pay-cut-tracker/,76.0,India
1243,ClickUp,San Diego,Other,60.0,0.07,2022-05-23 00:00:00,https://www.protocol.com/bulletins/clickup-layoff-productivity-app,537.0,United States
1770,Clinc,Ann Arbor,Support,40.0,0.32,2020-04-09 00:00:00,https://www.mlive.com/news/ann-arbor/2020/04/ann-arbor-ai-startup-clinc-lays-off-32-of-its-workers.html,59.0,United States
405,Cloudinary,SF Bay Area,Media,40.0,0.08,2022-11-14 00:00:00,"https://www.calcalistech.com/ctechnews/article/h1sioa1li#:~:text=Israeli%20unicorn%20Cloudinary%2C%20which%20has,total%20of%20around%2040%20employees.",100.0,United States
1030,Clutch,Toronto,Transportation,76.0,0.22,2022-06-29 00:00:00,https://betakit.com/clutch-cuts-staff-to-extend-runway-citing-market-conditions/,153.0,Canada
1772,Code42,Minneapolis,Data,25.0,0.05,2020-04-09 00:00:00,https://www.bizjournals.com/twincities/inno/stories/news/2020/04/09/cuts-at-code42-cybersecurity-company-eliminates-25.html,137.5,United States
1872,Coding Dojo,Seattle,Education,7.0,0.07,2020-04-02 00:00:00,https://www.geekwire.com/2020/engineering-bootcamp-coding-dojo-cuts-jobs-launches-volunteer-program-help-small-businesses/,2.0,United States
1819,Cogito,Boston,Support,24.0,0.14,2020-04-06 00:00:00,https://www.americaninno.com/boston/inno-news-boston/more-coronavirus-layoffs-emotional-ai-startup-cogito-makes-cuts/,92.0,United States
298,CoinJar,Melbourne,Crypto,10.0,0.2,2022-11-29 00:00:00,https://www.theaustralian.com.au/business/technology/melbourne-crypto-startup-coinjar-axes-20pc-of-workforce/news-story/485648b4b36a538ff7c00287adb57d5a,1.0,Australia
91,Coinbase,SF Bay Area,Crypto,950.0,0.2,2023-01-10 00:00:00,https://www.cnbc.com/2023/01/10/coinbase-to-slash-20percent-of-workforce-in-second-major-round-of-job-cuts.html,549.0,United States
880,Coinsquare,Toronto,Crypto,30.0,0.24,2022-07-27 00:00:00,https://betakit.com/coinsquare-lays-off-24-percent-of-staff-amid-turbulent-crypto-market-shifted-focus-to-regulation/,98.0,Canada
1090,Community,Los Angeles,Marketing,40.0,0.3,2022-06-21 00:00:00,https://www.businessinsider.com/creator-celeb-text-messaging-platform-community-has-layoffs-2022-6,40.0,United States
